"x","y","cluster"
127.027647415912,37.4982709918111,1
127.027484280363,37.4983752047133,1
127.027664128716,37.4982951305769,1
127.027612187193,37.4983202576283,1
127.027484091433,37.4986055464945,1
127.027311274932,37.4985166968346,1
127.027495519393,37.4985402001408,1
127.027377192874,37.4985680721504,1
127.027362920642,37.4987652684418,1
127.027289104851,37.4987807922125,1
127.0272870469,37.4989041411573,1
127.027141836961,37.4990410566569,1
127.027152430959,37.4991084246547,1
127.027173467384,37.4991069728416,1
127.027220928364,37.4990970485854,1
127.027079527109,37.4994258696941,1
127.026961064716,37.4994236543148,1
127.027133083754,37.4992976740849,1
127.027109291545,37.499369221778,1
127.026911995352,37.4996333406315,1
127.026881868265,37.4997142503218,1
127.028097023835,37.4983767417997,1
127.027999238881,37.4984208806159,1
127.028075150639,37.4983360785786,1
127.028004192606,37.4983936712968,1
127.028704227011,37.4982711247004,1
127.028681428224,37.4982622695534,1
127.028713110106,37.4982748632508,1
127.027129735239,37.4981298017516,1
127.027152528844,37.4982342716003,1
127.027298979588,37.4981521955867,1
127.027130474361,37.497882582181,1
127.027125818346,37.4980062278572,1
127.027053118465,37.4978393538318,1
127.027104570384,37.4979840198758,1
127.02686468816,37.4977167093365,1
127.026781439094,37.4977190879588,1
127.026587464829,37.4976745149071,1
127.026641208532,37.4976244890276,1
127.026467210989,37.4976613095923,1
127.027159789624,37.4975680705451,1
127.027172648026,37.4975028613117,1
127.027428850461,37.4974290196678,1
127.027667938363,37.4973191420457,1
127.027552650446,37.4974663693563,1
127.027560767484,37.4973201701453,1
127.027559769294,37.4974109894382,1
127.027653230927,37.4974164617279,1
127.028061708432,37.4975853726032,1
127.028035820096,37.497520186637,1
127.028187101521,37.4978623223423,1
127.028237663613,37.4977295364016,1
127.028305549084,37.4976867485766,1
127.028367166973,37.49805082676,1
127.028367329807,37.4979796349186,1
127.028428157471,37.4980811434635,1
127.028263158666,37.4975478271254,1
127.028403612725,37.4974883401116,1
127.028403020164,37.4974880902983,1
127.024822813254,37.498795123175,2
127.024695140954,37.498802872235,2
127.024868205204,37.4989387736486,2
127.024767058912,37.4988398140773,2
127.025252282848,37.4989888822578,2
127.025140083455,37.4988860823061,2
127.025067321258,37.4987803524262,2
127.02520974825,37.4986748791908,2
127.025132432868,37.4988278512793,2
127.025197794666,37.4987157529944,2
127.024983783334,37.4985551315341,2
127.025045487616,37.4986830034484,2
127.025000101433,37.4987125556495,2
127.025684520919,37.4978665586464,3
127.025632438497,37.4979569640651,3
127.025627428526,37.4977193813641,3
127.025748521298,37.4977183720193,3
127.0257517508,37.4973093630364,3
127.02598195769,37.496937043349,3
127.026060382901,37.4970942205052,3
127.026047544426,37.4970956811276,3
127.026016755349,37.4970979701386,3
127.025644412767,37.4971779780197,3
127.025608765492,37.4973195333963,3
127.025591986342,37.4972406438134,3
127.025568129918,37.4971304720552,3
127.025412506137,37.4971908255986,3
127.025334049952,37.4971480222419,3
127.025290647655,37.4972075474713,3
127.025282076041,37.4970516006701,3
127.027042841558,37.4959271584212,4
127.027159855137,37.4958966658245,4
127.027150283176,37.49596046992,4
127.027610255872,37.496190629543,4
127.027679516422,37.4962010885193,4
127.027632334714,37.4961363986543,4
127.027625134319,37.4961704710806,4
127.028243530539,37.4962972851685,4
127.028207920611,37.4962667858982,4
127.028149557598,37.4962468813697,4
127.027581794315,37.4960528452592,4
127.027708554921,37.4961481042971,4
127.027635283305,37.4960471942227,4
127.027657000151,37.4961417325767,4
127.028161552525,37.4962308040133,4
127.02813950016,37.4962368763089,4
127.02859673373,37.4995192782424,5
127.028688995367,37.4993940591531,5
127.029036945178,37.4994806506016,5
127.029141551308,37.4994709257144,5
127.029032790333,37.4995948825104,5
127.029443927583,37.4993772281446,5
127.029447259088,37.4991895440111,5
127.029429990052,37.4991895797625,5
127.029211196799,37.4994340133703,5
127.029173127182,37.4993040447155,5
127.029149963368,37.4994006807194,5
127.029668624346,37.4989538904733,5
127.029651030349,37.4989608419508,5
127.029660036659,37.4990200198742,5
127.029604239398,37.4990529517035,5
